"Wavelength, µm","T"
0.00012399,0.9916825401332136
0.00013051,0.9878270355381004
0.00013776,0.9886731710347545
0.00015498,0.984574017352831
0.00017712,0.9779248256016221
0.00020664,0.9670461058681028
0.00024797,0.9470947592412753
0.00030996,0.9041877351343619
0.00035424,0.8662223596244212
0.00041328,0.8048283480860713
0.00049594,0.7077476485806896
0.00061993,0.5219092870105263
0.00065255,0.4764705186318677
0.00068881,0.4231762258289399
0.00072932,0.36828179525908056
0.00074021,0.35122476414608117
0.00077734,0.2981350498216771
0.00078472,0.2845730841667222
0.00079274,0.25819746090995804
0.00079376,0.3206381388021
0.00079478,0.4536066244126911
0.00079529,0.5220924571807811
0.0007958,0.5947029937421051
0.00079785,0.6886120900306979
0.00079887,0.8407667646996566
0.0007999,0.9093548176480625
0.0008051,0.9079028276099308
0.00081569,0.9049664365914063
0.00082657,0.9017164943005018
0.00085507,0.8911421065588587
0.00088561,0.8808620877259061
0.00095373,0.8578583979645554
0.0010332,0.8268957137953225
0.0011271,0.7861020297927875
0.0012399,0.7295334006782647
0.0013776,0.6526973177526385
0.0015498,0.5533043717234312
0.0017712,0.43258740264437995
0.0020664,0.2623846129837601
0.0024797,0.11029456368693846
0.0030996,0.019683312295986
0.0041328,0.000790314783822361
0.0049594,0.00002473102646100913
0.0061993,2.44747404089968e-7
0.0065255,8.220583248028438e-8
0.0068881,2.253557860145942e-8
0.0072932,6.003742982188323e-9
0.0077491,2.1463404220563967e-10
0.0082657,1.7619320184090017e-10
0.0085507,1.4037720279299635e-10
0.0088561,8.969782065657919e-11
0.0091841,2.776074900625568e-11
0.0095373,1.616888093520957e-12
0.0099188,1.298185822800987e-13
0.010332,1.948006135290881e-13
0.010781,2.4047448915490487e-13
0.011271,4.741815496147691e-13
0.011808,5.1963891462925185e-12
0.012399,6.768703998072269e-14
0.012652,5.4823560269461184e-15
0.012915,6.868820487544111e-16
0.01319,2.4529638657052697e-15
0.013477,3.0055489721276874e-14
0.013776,5.643042552655199e-13
0.014089,6.076081922671818e-12
0.014417,2.05529508739654e-11
0.01476,1.2052991005661566e-10
0.01512,6.461177149171732e-10
0.015498,2.4041339926150093e-9
0.015694,3.0193048124549846e-9
0.015896,3.164357243870318e-9
0.016102,2.9218457662646366e-9
0.016314,1.0482883824214241e-8
0.016422,1.0941097298739497e-8
0.016531,1.1751512275225745e-8
0.016642,1.0400686169673563e-8
0.016755,1.3264505964792327e-8
0.016777,1.3143398720343905e-8
0.0168,1.2940634342364423e-8
0.016823,1.2375707128136738e-8
0.016846,1.1566301708256711e-8
0.016869,9.259901785720517e-9
0.016892,6.072564623060476e-9
0.016915,4.031585327108001e-9
0.016938,1.56294457249837e-8
0.016961,5.069121854733847e-7
0.016984,7.048485093472087e-7
0.017008,3.7894386821795273e-7
0.017031,3.6984534553472957e-7
0.017054,0.00010174547308353615
0.017078,0.0483669629021608
0.017101,0.06984922034086906
0.017125,0.0816530852629151
0.017149,0.08039941048564733
0.017172,0.07853357653837009
0.017196,0.07818193971570446
0.017208,0.0770108974191387
0.01722,0.07635885667139168
0.017463,0.08082209627193224
0.017712,0.08099684536206929
0.018233,0.07954206532651431
0.018786,0.07398845765882152
0.019373,0.06956815837229445
0.019998,0.06965864335060516
0.020664,0.07013881077882463
0.022543,0.061579692498928605
0.024797,0.054347572170955497
0.027552,0.048852569296875356
0.030996,0.041537378999402144
0.035424,0.03675833225050965
0.041328,0.028936442144861595
