"Wavelength, µm","T"
0.02,1e-70
0.2066,5.279047327315315e-74
0.2101,2.9016642812577728e-74
0.2138,4.604427004788787e-74
0.2175,1.2200802912979882e-72
0.2214,7.017120484198106e-71
0.2254,1.5416124093049845e-69
0.2296,1.4504283308532438e-68
0.2339,2.542907326376057e-68
0.2384,8.738318152078411e-69
0.2431,1.0286850526682909e-69
0.248,4.431936163049102e-71
0.253,8.112556132442461e-73
0.2583,7.242777425167479e-75
0.2638,1.8537583706733582e-77
0.2695,6.428115811154409e-81
0.2755,7.564201440162447e-86
0.2818,3.779074340165391e-91
0.2883,4.8161762180529436e-86
0.2952,7.650234755988606e-75
0.3024,5.984600277132751e-66
0.31,1.8629439483227313e-59
0.3179,1.3995073612323214e-54
0.3263,1.1425834373878357e-50
0.3351,2.358365691662354e-47
0.3444,1.9043216245484777e-44
0.3542,8.070968036476402e-42
0.3647,2.5520669221856324e-39
0.3757,1.3637439719175324e-36
0.3875,1.1058831315433255e-33
0.3999,5.908899984455513e-31
0.4133,4.741365347692198e-29
0.4275,4.792451062342332e-28
0.4428,1.3158233274856146e-27
0.4592,2.3879342467911172e-27
0.4769,3.7711433961515754e-27
0.4959,5.800623421557112e-27
0.5166,1.1606475490616371e-26
0.5391,3.42013108046895e-24
0.5636,1.4418738328324344e-20
0.5904,7.865479228628894e-16
0.6199,6.109557486333881e-9
0.6525,0.000004610759638060973
0.6888,0.00010924364571497281
0.7293,0.0009982345351821251
0.7749,0.003717203409980681
0.8266,0.01077701910059617
