"Wavelength, µm","T"
0.02,1e-80
0.2066,1.4335796043884131e-77
0.2101,3.4698337670012576e-78
0.2138,1.8735534643033126e-78
0.2175,5.164470080619303e-79
0.2214,9.379212771535103e-80
0.2254,1.1225586577635e-80
0.2296,9.805039664116808e-81
0.2339,5.829682474848337e-79
0.2384,1.6576459059308374e-77
0.2431,1.0476437313366785e-77
0.248,3.5347577397914795e-79
0.253,1.3480080365252471e-81
0.2583,8.501291540808678e-85
0.2638,3.137309507775814e-89
0.2695,1.8545401534287357e-95
0.2755,2.1298023754700286e-101
0.2818,3.198426233039149e-104
0.2883,7.462841384608962e-103
0.2952,1.724088465898893e-86
0.3024,1.5479907478351294e-72
0.31,7.395809966209663e-64
0.3179,3.614064077233382e-58
0.3263,6.021505427421998e-54
0.3351,1.5732663992716462e-50
0.3444,4.64256101215793e-48
0.3542,3.6337717614527033e-47
0.3647,3.3218617230485613e-41
0.3757,6.689190647794005e-20
0.3875,1.3401471465100775e-9
0.3999,0.000005230499277223447
0.4133,0.0002805006093344236
0.4275,0.002561431868722119
0.4428,0.009795501775096041
0.4592,0.028508509523430158
0.4769,0.09333963065293593
0.4959,0.15725934569075017
0.5166,0.23235038135534858
0.5391,0.3266468981123589
0.5636,0.48993057128299056
0.5904,0.5280654248808219
0.6199,0.6401995176201766
0.6525,0.7348117840917914
0.6888,0.7888570311921155
0.7293,0.8417204816604502
0.7749,0.8783289352705902
0.8266,0.9268047104861035
